class,occurrences,candidate_group,page_only_candidate
.td-kpi-label,1,kpi-label,review
.td-kpi-spark,1,kpi-spark,review
.td-kpi-value,1,kpi-value,review
.td-label,1,label,review
.td-label-optional,1,label-optional,review
.td-label-required,1,label-required,review
.td-lamp,35,lamp,review
.td-lang,2,lang,review
.td-lang-flag,1,lang-flag,review
.td-lead,2,lead,review
.td-lead--xl,1,lead-,review
.td-leadform,1,leadform,review
.td-leadform-field,1,leadform-field,review
.td-leadform-input,2,leadform-input,review
.td-leadform-lbl,1,leadform-lbl,review
.td-leadform-prio,4,leadform-prio,review
.td-leadform-priority,1,leadform-priority,review
.td-leadform-row,1,leadform-row,review
.td-leadform-textarea,1,leadform-textarea,review
.td-leadtime,1,leadtime,review
.td-leadtime-fill,1,leadtime-fill,review
.td-leadtime-fill--fast,1,leadtime-fill,review
.td-leadtime-fill--med,1,leadtime-fill,review
.td-leadtime-fill--slow,1,leadtime-fill,review
.td-leadtime-label,1,leadtime-label,review
.td-leadtime-track,1,leadtime-track,review
.td-leadtime-val,1,leadtime-val,review
.td-linkcell,5,linkcell,review
.td-linkcell-arrow,2,linkcell-arrow,review
.td-linkcell-kicker,1,linkcell-kicker,review
.td-linkcell-title,1,linkcell-title,review
